gene location;strand;Ensembl ID;Gene Symbol;sum direct regulation score (-16..0..16);sum direct target (0..16);Literature (Table S1);Wei 2006 5-FU HCT116;Smeenk 2011 Actinomycin D U2OS ;Smeenk 2011 etoposide U2OS ;Nikulenkov 2012 Nutlin-3a MCF-7;Menendez 2013 Nutlin-3a U2OS;Menendez 2013 doxorubicin U2OS;Schlereth 2013 p53 SAOS-2;Allen 2014 Nutlin-3a HCT116;Janky 2014 iRegulon Nutlin-3a MCF-7;McDade 2014 cisplatin HFK;McDade 2014 doxorubicin HFK;Wang 2014 5-FU HCT116;Rashi-Elkeles 2014 IR CAL51;Chang 2014 mix HCT116;Younger 2015 doxorubicin fibroblasts;Fischer 2016 meta-analysis;Literature (Table S1);Wei 2006 5-FU HCT116;Smeenk 2011 Actinomycin D U2OS ;Smeenk 2011 etoposide U2OS ;Nikulenkov 2012 Nutlin-3a MCF-7;Menendez 2013 Nutlin-3a U2OS;Menendez 2013 doxorubicin U2OS;Schlereth 2013 p53 SAOS-2;Allen 2014 Nutlin-3a HCT116;Janky 2014 Nutlin-3a iRegulon MCF-7;McDade 2014 cisplatin HFK;McDade 2014 doxorubicin HFK;Wang 2014 5-FU HCT116;Rashi-Elkeles 2014 IR CAL51;Chang 2014 mix HCT116;Younger 2015 doxorubicin fibroblasts;Fischer 2016 meta-analysis;p53 ChIP 25kb sum (0..15);p53 ChIP 5kb sum (0..15);p53 ChIP 2.5kb sum (0..15);p53 Expression Score (-20..0..20)
chr15:63445538-63449741;-;ENSG00000185088;RPS27L;13;13;up;up;up;up;up;up;---;up;up;up;---;up;---;up;---;up;up;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;1;15;15;15;19
chr8:22877647-22926700;-;ENSG00000120889;TNFRSF10B;13;13;up;up;up;---;up;up;up;---;up;up;---;up;up;up;---;up;up;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;1;15;15;15;19
chr12:120881763-120884215;-;ENSG00000170855;TRIAP1;13;13;up;---;up;up;up;up;up;up;up;---;---;---;up;up;up;up;up;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;15;15;15;14
chr3:178735010-178789656;-;ENSG00000172667;ZMAT3;13;13;up;up;---;up;up;up;up;up;up;up;---;up;up;up;---;---;up;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;14;14;14;19
chr19:49458116-49464519;+;ENSG00000087088;BAX;12;12;up;up;---;---;up;up;---;up;up;up;---;---;up;up;up;up;up;1;1;0;0;1;1;0;1;1;1;0;0;1;1;1;1;1;15;15;15;11
chr14:75408532-75422467;-;ENSG00000119630;PGF;12;12;up;---;up;up;up;---;up;up;---;---;up;up;up;up;up;up;---;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;0;14;14;0;12
chr6:43543877-43588260;+;ENSG00000170734;POLH;12;12;up;---;up;---;up;---;up;up;up;up;---;up;up;up;up;---;up;1;0;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1;13;13;13;20
chr17:58677543-58743640;+;ENSG00000170836;PPM1D;12;12;up;---;up;up;up;---;up;up;up;up;---;up;up;up;---;---;up;1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;13;13;13;16
chr20:46286149-46414808;-;ENSG00000196562;SULF2;12;12;up;---;---;---;up;up;up;up;up;up;---;up;up;up;---;up;up;1;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;1;10;10;8;16
chr3:14186647-14220172;-;ENSG00000154767;XPC;12;12;up;up;---;up;up;up;---;---;up;---;---;up;up;up;up;up;up;1;1;0;1;1;1;0;0;1;0;0;1;1;1;1;1;1;13;13;13;17
chr15:89164526-89175512;+;ENSG00000181026;AEN;11;11;up;up;---;---;up;---;---;up;up;up;up;---;up;up;---;up;up;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;1;1;15;15;15;11
chr10:102033712-102046439;-;ENSG00000196072;BLOC1S2;11;11;---;---;up;up;up;up;up;up;up;---;---;---;---;up;up;up;up;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;15;15;15;20
chr10:90750287-90775542;+;ENSG00000026103;FAS;11;11;up;---;up;up;up;up;up;---;up;up;---;---;up;up;---;---;up;1;0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;15;15;15;16
chr3:151011875-151034636;-;ENSG00000138271;GPR87;11;11;up;---;up;up;up;up;up;up;up;up;---;up;---;---;---;---;up;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;14;14;14;12
chr9:95883770-95896570;-;ENSG00000131669;NINJ1;11;11;up;---;up;up;up;up;up;up;up;---;---;---;up;up;---;---;up;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;10;10;10;15
chr5:57749809-57755966;-;ENSG00000145632;PLK2;11;11;up;up;up;---;up;---;---;up;up;---;---;---;up;up;up;up;up;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;1;1;15;15;15;13
chr18:43563501-43652250;-;ENSG00000152229;PSTPIP2;11;11;---;up;up;up;up;up;up;---;up;up;---;---;up;---;---;up;up;0;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;1;11;11;6;17
chr6:109307639-109415708;-;ENSG00000080546;SESN1;11;11;up;---;up;up;up;up;up;---;up;---;---;up;up;up;---;---;up;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;15;15;15;20
chr2:24300302-24308085;-;ENSG00000115129;TP53I3;11;11;up;---;---;---;up;up;up;up;up;---;up;up;up;up;---;---;up;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;1;9;9;9;19
chr8:95938199-95961615;-;ENSG00000164938;TP53INP1;11;11;up;---;---;up;up;up;up;up;up;up;---;---;up;up;---;---;up;1;0;0;1;1;1;1;1;1;1;0;0;1;1;0;0;1;14;14;14;19
chr2:215796265-216003151;-;ENSG00000144452;ABCA12;10;10;up;---;---;up;up;---;up;up;up;up;---;up;up;---;---;---;up;1;0;0;1;1;0;1;1;1;1;0;1;1;0;0;0;1;13;13;13;11
chr5:72848024-72861511;-;ENSG00000164331;ANKRA2;10;10;---;---;---;up;up;up;up;---;up;---;---;up;up;up;---;up;up;0;0;0;1;1;1;1;0;1;0;0;1;1;1;0;1;1;10;10;10;19
chr5:162864576-162872022;+;ENSG00000113328;CCNG1;10;10;up;---;up;---;up;---;---;---;up;up;---;---;up;up;up;up;up;1;0;1;0;1;0;0;0;1;1;0;0;1;1;1;1;1;14;14;14;16
chr5:156693090-156822606;+;ENSG00000055163;CYFIP2;10;10;up;---;---;---;---;up;up;up;up;up;---;up;up;up;---;---;up;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;4;4;4;20
chr12:102271104-102317401;+;ENSG00000136048;DRAM1;10;10;up;up;---;---;---;up;---;up;up;up;---;---;up;up;---;up;up;1;1;0;0;0;1;0;1;1;1;0;0;1;1;0;1;1;13;10;10;20
chr15:76196199-76227608;+;ENSG00000167196;FBXO22;10;10;up;---;up;---;up;up;---;up;up;---;---;---;---;up;up;up;up;1;0;1;0;1;1;0;1;1;0;0;0;0;1;1;1;1;15;15;15;19
chr12:108956293-108963160;+;ENSG00000136003;ISCU;10;10;up;---;---;---;up;up;up;up;up;---;---;up;---;up;---;up;up;1;0;0;0;1;1;1;1;1;0;0;1;0;1;0;1;1;9;9;9;19
chr1:201434621-201438299;-;ENSG00000174307;PHLDA3;10;10;up;---;up;---;up;---;---;up;up;up;---;---;up;up;up;---;up;1;0;1;0;1;0;0;1;1;1;0;0;1;1;1;0;1;14;14;14;16
chr18:61144143-61172318;+;ENSG00000206075;SERPINB5;10;10;up;---;---;up;up;up;up;up;up;up;---;---;up;---;---;---;up;1;0;0;1;1;1;1;1;1;1;0;0;1;0;0;0;1;8;8;8;12
chr19:40928408-40931932;-;ENSG00000197019;SERTAD1;10;10;---;---;up;up;up;up;up;up;---;---;---;---;---;up;up;up;up;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;13;13;13;15
chr17:27071022-27077976;+;ENSG00000076604;TRAF4;10;10;up;---;up;---;up;---;---;up;up;---;---;---;up;up;up;up;up;1;0;1;0;1;0;0;1;1;0;0;0;1;1;1;1;1;13;13;13;15
chr11:5710816-5732093;+;ENSG00000132274;TRIM22;10;10;up;up;up;up;---;up;up;---;---;up;---;---;---;up;---;up;up;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;1;1;14;14;14;14
chr16:66968346-66978994;+;ENSG00000172831;CES2;9;9;up;---;---;---;---;up;up;up;---;---;up;up;up;---;up;up;---;1;0;0;0;0;1;1;1;0;0;1;1;1;0;1;1;0;14;3;3;20
chr5:10277706-10308168;-;ENSG00000164237;CMBL;9;9;---;---;---;---;up;up;up;---;up;up;---;up;up;up;---;---;up;0;0;0;0;1;1;1;0;1;1;0;1;1;1;0;0;1;8;8;8;18
chr4:153242409-153456185;-;ENSG00000109670;FBXW7;9;9;---;---;up;up;up;up;up;---;up;---;---;---;up;up;---;---;up;0;0;1;1;1;1;1;0;1;0;0;0;1;1;0;0;1;13;13;13;15
chr4:128703452-128754526;+;ENSG00000164070;HSPA4L;9;9;---;---;---;---;up;---;---;up;up;up;---;up;up;up;---;up;up;0;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;1;9;9;9;14
chr12:88886569-88974250;-;ENSG00000049130;KITLG;9;9;up;up;up;up;---;up;up;up;---;---;---;up;---;up;---;---;---;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;15;2;2;12
chr16:67977376-68002597;-;ENSG00000124067;SLC12A4;9;9;---;---;up;---;up;---;up;---;---;up;---;up;---;up;up;up;up;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;1;1;15;15;15;13
chr1:212781969-212794119;+;ENSG00000162772;ATF3;8;8;up;up;up;up;---;---;up;---;---;---;---;---;up;---;up;---;up;1;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;15;5;5;13
chr19:47724078-47736023;-;ENSG00000105327;BBC3;8;8;up;---;---;---;up;---;up;---;up;up;---;---;---;up;---;up;up;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;1;15;15;15;14
chr11:82972501-82997377;-;ENSG00000137500;CCDC90B;8;8;---;---;---;---;up;up;up;---;up;---;---;up;up;up;---;---;up;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;1;9;8;8;18
chr1:206808880-206822542;+;ENSG00000143479;DYRK3;8;8;---;---;up;up;---;up;up;---;---;---;up;---;---;---;up;up;up;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;1;1;12;8;8;7
chrX:65815481-65835872;-;ENSG00000131080;EDA2R;8;8;up;---;up;up;up;---;---;---;---;---;up;up;---;---;---;up;up;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;15;15;15;11
chr1:16450831-16482582;-;ENSG00000142627;EPHA2;8;8;up;---;---;---;---;---;up;up;---;---;---;up;up;up;up;---;up;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;1;14;14;6;14
chr10:61005888-61122352;-;ENSG00000148541;FAM13C;8;8;---;---;up;up;---;up;up;up;---;---;---;up;---;up;---;up;---;0;0;1;1;0;1;1;1;0;0;0;1;0;1;0;1;0;1;1;1;11
chr4:159045731-159094202;-;ENSG00000164125;FAM198B;8;8;---;---;up;up;---;up;up;---;---;up;up;up;---;---;---;---;up;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;0;1;13;13;13;15
chr1:112264685-112282046;-;ENSG00000197852;FAM212B;8;8;---;---;---;up;---;up;up;---;up;up;---;---;up;up;---;---;up;0;0;0;1;0;1;1;0;1;1;0;0;1;1;0;0;1;7;7;7;11
chr17:72858618-72869156;-;ENSG00000161513;FDXR;8;8;up;---;---;---;---;up;up;up;up;---;---;---;up;up;---;---;up;1;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;1;7;7;7;19
chr22:30636441-30642796;-;ENSG00000128342;LIF;8;8;up;---;---;---;up;---;---;up;---;up;---;---;up;up;---;up;up;1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;1;1;14;14;14;11
chr11:71164216-71212581;+;ENSG00000172890;NADSYN1;8;8;---;---;---;---;---;up;up;up;up;---;---;up;up;---;---;up;up;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;1;9;8;8;18
chr1:233086369-233114219;+;ENSG00000135778;NTPCR;8;8;---;---;up;up;up;up;---;up;up;---;---;---;---;---;---;up;up;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;14;14;13;13
chr16:30960404-30966259;+;ENSG00000175938;ORAI3;8;8;---;---;---;up;up;up;up;up;up;up;---;---;---;---;---;---;up;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;10;10;10;16
chr12:120105760-120119429;+;ENSG00000111725;PRKAB1;8;8;up;---;---;---;up;---;up;---;up;---;---;up;up;up;---;---;up;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;10;10;10;17
chr6:64281919-64293489;+;ENSG00000112245;PTP4A1;8;8;up;---;---;---;up;up;---;---;up;---;---;---;up;up;up;---;up;1;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;1;15;15;15;16
chr1:28585962-28609002;+;ENSG00000130766;SESN2;8;8;---;---;---;---;---;---;---;up;up;up;---;---;up;up;up;up;up;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;10;10;10;18
chr1:211748380-211752099;-;ENSG00000170385;SLC30A1;8;8;---;---;up;---;up;---;---;---;up;---;---;up;up;up;---;up;up;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;1;1;12;12;12;14
chr4:52917592-52963458;+;ENSG00000163071;SPATA18;8;8;up;---;---;---;up;---;---;up;---;up;---;up;---;up;---;up;up;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;1;12;10;10;13
chr2:70674411-70781147;-;ENSG00000163235;TGFA;8;8;up;up;up;up;---;up;up;up;---;---;---;---;up;---;---;---;---;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;6;0;0;7
chr4:186990308-187006252;+;ENSG00000164342;TLR3;8;8;up;---;up;up;---;up;up;---;---;---;---;---;up;up;---;---;up;1;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;7;7;7;7
chr12:27124505-27167339;-;ENSG00000064115;TM7SF3;8;8;---;---;up;up;up;up;---;up;up;---;---;---;---;---;up;---;up;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;1;11;11;11;15
chr8:56651319-56685885;-;ENSG00000167904;TMEM68;8;8;---;---;up;---;up;up;up;---;---;---;---;up;---;up;up;---;up;0;0;1;0;1;1;1;0;0;0;0;1;0;1;1;0;1;11;11;11;15
chr1:85527992-85598821;+;ENSG00000162643;WDR63;8;8;---;---;---;---;---;up;up;---;up;up;---;up;up;---;---;up;up;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;1;1;5;5;5;18
chr19:9718001-9731916;-;ENSG00000171469;ZNF561;8;8;---;---;---;---;up;---;up;---;---;up;up;up;up;up;---;---;up;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;0;1;11;11;11;16
chr9:130186652-130207651;+;ENSG00000196152;ZNF79;8;8;up;---;---;---;up;---;---;up;up;---;---;---;up;up;---;up;up;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;1;10;10;10;16
chr6:100956607-101329224;-;ENSG00000112249;ASCC3;7;9;---;---;---;down;---;up;---;up;up;---;---;---;up;up;up;up;up;0;0;0;-1;0;1;0;1;1;0;0;0;1;1;1;1;1;14;14;14;16
chr9:19408924-19452500;+;ENSG00000177076;ACER2;7;7;---;---;---;---;---;---;---;---;up;up;up;up;up;up;---;---;up;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;8;8;8;10
chr2:69969126-70053596;+;ENSG00000196975;ANXA4;7;7;---;---;---;---;---;up;up;up;up;---;---;up;up;---;---;---;up;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;1;5;5;5;19
chr22:39410264-39414825;+;ENSG00000244509;APOBEC3C;7;7;---;---;---;---;---;up;up;---;up;---;up;up;up;---;---;---;up;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;1;6;6;6;14
chr9:119187503-120177317;-;ENSG00000148219;ASTN2;7;7;---;up;---;---;up;up;---;---;up;---;---;---;---;up;up;---;up;0;1;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1;12;12;12;12
chr11:44587140-44641315;+;ENSG00000085117;CD82;7;7;up;---;---;---;---;up;up;up;up;---;---;---;up;---;---;---;up;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;5;5;5;11
chr16:4560676-4588816;-;ENSG00000089486;CDIP1;7;7;up;---;---;---;---;---;up;up;---;up;---;up;up;---;---;---;up;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;7;7;7;12
chr4:166300096-166419482;+;ENSG00000109472;CPE;7;7;---;---;up;up;---;---;up;---;up;up;---;up;up;---;---;---;---;0;0;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;6;1;0;11
chr1:110453232-110473616;+;ENSG00000184371;CSF1;7;7;up;---;---;---;---;---;---;up;---;---;up;up;---;up;---;up;up;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;1;9;8;8;15
chr12:2055213-2113677;-;ENSG00000151065;DCP1B;7;7;---;---;up;---;up;---;---;---;up;up;---;---;---;up;up;---;up;0;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;1;15;15;15;17
chr5:73923233-73937249;-;ENSG00000171617;ENC1;7;7;---;---;up;up;up;up;---;---;---;---;---;up;up;up;---;---;---;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;14;4;3;9
chr11:65659691-65667997;-;ENSG00000175592;FOSL1;7;7;---;---;---;---;up;up;up;up;---;up;---;---;---;up;up;---;---;0;0;0;0;1;1;1;1;0;1;0;0;0;1;1;0;0;11;11;11;4
chr1:24171571-24194859;-;ENSG00000179163;FUCA1;7;7;up;---;up;up;---;up;up;up;---;---;---;up;---;---;---;---;---;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;7;7;0;10
chr1:181057637-181059979;+;ENSG00000162783;IER5;7;7;up;up;---;---;up;---;---;up;---;---;---;---;---;---;up;up;up;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;14;5;5;9
chr1:17634689-17690495;+;ENSG00000159339;PADI4;7;7;up;---;up;up;---;up;up;up;---;---;---;---;---;---;---;---;up;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;12;12;12;8
chr10:91339253-91405329;-;ENSG00000152782;PANK1;7;7;up;---;---;---;up;up;up;---;up;---;---;---;---;up;---;---;up;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;9;9;9;15
chr19:18451407-18480763;+;ENSG00000130517;PGPEP1;7;7;---;up;up;up;---;---;---;---;up;---;up;---;---;up;---;up;---;0;1;1;1;0;0;0;0;1;0;1;0;0;1;0;1;0;15;0;0;14
chr3:16974581-17132098;+;ENSG00000154822;PLCL2;7;7;---;---;---;---;---;up;up;up;up;up;---;up;up;---;---;---;---;0;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;4;3;3;14
chr18:57567191-57571538;+;ENSG00000141682;PMAIP1;7;7;up;---;---;up;up;---;---;up;---;---;---;---;up;up;---;---;up;1;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;11;11;11;10
chr6:106534194-106557814;+;ENSG00000057657;PRDM1;7;7;up;up;---;---;---;---;---;---;up;---;up;up;---;up;---;---;up;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;15;15;15;12
chr3:152880028-152886263;+;ENSG00000181467;RAP2B;7;7;up;---;up;---;up;---;---;---;---;up;---;---;---;up;up;---;up;1;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;15;15;15;11
chr16:66955581-66959439;-;ENSG00000166592;RRAD;7;7;up;up;---;---;---;---;up;---;---;---;up;up;---;---;---;up;up;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;14;14;4;10
chr14:21558204-21567173;-;ENSG00000165804;ZNF219;7;7;---;---;---;---;up;---;---;---;up;up;---;up;---;---;up;up;up;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;1;13;13;13;12
chr20:25654851-25677477;-;ENSG00000130684;ZNF337;7;7;---;---;---;---;up;---;---;---;up;---;---;up;---;up;up;up;up;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;12;12;12;17
chr10:90694830-90712580;-;ENSG00000107796;ACTA2;6;8;up;---;---;---;---;---;---;---;up;up;---;up;up;---;up;down;up;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;-1;1;15;15;15;14
chr1:41944445-41950344;-;ENSG00000127129;EDN2;6;8;up;---;up;---;up;---;---;---;---;up;down;---;up;up;---;---;up;1;0;1;0;1;0;0;0;0;1;-1;0;1;1;0;0;1;15;15;14;6
chr10:45869628-45941563;+;ENSG00000012779;ALOX5;6;6;up;---;up;up;---;up;up;---;up;---;---;---;---;---;---;---;---;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;2;2;2;7
chr3:56761445-57113336;-;ENSG00000163947;ARHGEF3;6;6;---;---;up;up;---;up;up;---;---;---;---;up;---;up;---;---;---;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;15;0;0;13
chr12:50523580-50561097;-;ENSG00000139624;CERS5;6;6;---;---;---;up;up;up;up;---;---;---;---;---;---;---;up;up;---;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;13;13;2;9
chr6:30856464-30867933;+;ENSG00000204580;DDR1;6;6;up;---;---;---;---;---;up;up;---;---;up;---;---;---;---;up;up;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;8;7;7;13
chr1:12627938-12677820;-;ENSG00000162496;DHRS3;6;6;up;---;up;---;---;---;up;---;---;---;---;---;---;up;---;up;up;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;13;13;13;11
chr17:35849950-35873588;+;ENSG00000276023;DUSP14;6;6;---;---;---;---;---;up;up;up;---;---;up;---;up;---;---;---;up;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;8;8;8;12
chr12:77415025-77459360;-;ENSG00000165891;E2F7;6;6;up;---;---;---;up;---;---;up;---;---;---;up;---;up;---;---;up;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;15;15;15;7
chr11:706119-727727;+;ENSG00000177106;EPS8L2;6;6;---;---;---;---;up;---;---;up;up;up;---;---;---;up;---;---;up;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;1;11;11;11;20
chr20:54933982-54943718;+;ENSG00000124098;FAM210B;6;6;---;---;---;---;up;up;up;up;up;---;---;---;---;---;---;---;up;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;8;8;8;13
chr12:56864735-56882181;-;ENSG00000135423;GLS2;6;6;up;---;---;---;---;up;up;up;---;---;up;up;---;---;---;---;---;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;5;3;3;15
chr3:49394608-49395791;-;ENSG00000233276;GPX1;6;6;up;---;---;---;---;up;up;---;---;---;---;up;---;---;up;---;up;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;11;11;11;7
chr1:24645811-24690970;+;ENSG00000158055;GRHL3;6;6;---;---;---;---;---;up;up;---;---;up;---;---;---;up;---;up;up;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;1;9;9;9;15
chr1:210501595-210849638;+;ENSG00000054392;HHAT;6;6;---;---;---;---;up;---;---;up;up;up;---;up;---;---;---;---;up;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;13;5;5;12
chr15:65673824-65715410;-;ENSG00000103742;IGDCC4;6;6;---;---;up;---;---;up;up;up;---;---;---;---;---;---;---;up;up;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;8;7;7;10
