Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Age,embryo,Genotype,source_name,tissue
SRR6461333,RNA-Seq,43,84558597,PRJNA429574,SAMN08349451,86639858,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551537,GSM2929590,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929590,SRP128877,embryonic day 5.25,embryo 3,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461334,RNA-Seq,43,91969819,PRJNA429574,SAMN08349450,94603855,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551538,GSM2929591,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929591,SRP128877,embryonic day 5.25,embryo 3,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461337,RNA-Seq,43,42201447,PRJNA429574,SAMN08349447,49402245,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551541,GSM2929594,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929594,SRP128877,embryonic day 5.25,embryo 1,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461338,RNA-Seq,43,36772783,PRJNA429574,SAMN08349443,42421631,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551542,GSM2929595,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929595,SRP128877,embryonic day 5.25,embryo 1,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461341,RNA-Seq,43,127942888,PRJNA429574,SAMN08349446,133826825,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551545,GSM2929598,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929598,SRP128877,embryonic day 5.25,embryo 1,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461342,RNA-Seq,43,68759838,PRJNA429574,SAMN08349445,78656945,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551546,GSM2929599,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929599,SRP128877,embryonic day 5.25,embryo 1,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461344,RNA-Seq,43,80712161,PRJNA429574,SAMN08349440,82978394,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551548,GSM2929601,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929601,SRP128877,embryonic day 5.25,embryo 1,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461354,RNA-Seq,43,181828467,PRJNA429574,SAMN08349771,183513159,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551558,GSM2929611,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929611,SRP128877,embryonic day 5.25,embryo 1,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461355,RNA-Seq,43,114125010,PRJNA429574,SAMN08349770,117329826,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551559,GSM2929612,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929612,SRP128877,embryonic day 5.25,embryo 1,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461356,RNA-Seq,43,83006727,PRJNA429574,SAMN08349769,86094016,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551560,GSM2929613,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929613,SRP128877,embryonic day 5.25,embryo 1,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461358,RNA-Seq,43,93234234,PRJNA429574,SAMN08349767,108353300,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551562,GSM2929615,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929615,SRP128877,embryonic day 5.25,embryo 1,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461365,RNA-Seq,43,106109337,PRJNA429574,SAMN08349857,109085534,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551569,GSM2929622,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929622,SRP128877,embryonic day 5.25,embryo 1,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461366,RNA-Seq,43,65530237,PRJNA429574,SAMN08349856,69115651,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551570,GSM2929623,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929623,SRP128877,embryonic day 5.25,embryo 1,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461369,RNA-Seq,43,44641267,PRJNA429574,SAMN08349849,51206769,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551573,GSM2929626,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929626,SRP128877,embryonic day 5.25,embryo 3,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461556,RNA-Seq,43,103861684,PRJNA429574,SAMN08349641,106764422,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551760,GSM2929813,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929813,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461558,RNA-Seq,43,71745328,PRJNA429574,SAMN08349639,76746355,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551762,GSM2929815,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929815,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461559,RNA-Seq,43,132450664,PRJNA429574,SAMN08349638,136347152,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551763,GSM2929816,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929816,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461562,RNA-Seq,43,72510384,PRJNA429574,SAMN08349634,81196294,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551766,GSM2929819,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929819,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461568,RNA-Seq,43,52018562,PRJNA429574,SAMN08349631,54184526,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551772,GSM2929825,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929825,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461569,RNA-Seq,43,67342085,PRJNA429574,SAMN08349630,73003757,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551773,GSM2929826,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929826,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461570,RNA-Seq,43,39897378,PRJNA429574,SAMN08349629,41866198,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551774,GSM2929827,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929827,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461572,RNA-Seq,43,52410593,PRJNA429574,SAMN08349624,56855394,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551776,GSM2929829,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929829,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461573,RNA-Seq,43,71008609,PRJNA429574,SAMN08349623,73119724,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551777,GSM2929830,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929830,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461574,RNA-Seq,43,109585242,PRJNA429574,SAMN08349622,117079037,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551778,GSM2929831,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929831,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461575,RNA-Seq,43,70980788,PRJNA429574,SAMN08349621,73339512,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551779,GSM2929832,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929832,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461580,RNA-Seq,43,172582005,PRJNA429574,SAMN08349616,174055317,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551784,GSM2929837,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929837,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461582,RNA-Seq,43,118736975,PRJNA429574,SAMN08349614,120981983,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551786,GSM2929839,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929839,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461583,RNA-Seq,43,90648128,PRJNA429574,SAMN08349712,97061962,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551787,GSM2929840,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929840,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461584,RNA-Seq,43,120917591,PRJNA429574,SAMN08349711,133423326,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551788,GSM2929841,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929841,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461588,RNA-Seq,43,56899062,PRJNA429574,SAMN08349707,58521547,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551792,GSM2929845,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929845,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461589,RNA-Seq,43,45314518,PRJNA429574,SAMN08349706,46702953,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551793,GSM2929846,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929846,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461591,RNA-Seq,43,64555986,PRJNA429574,SAMN08349704,66971070,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551795,GSM2929848,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929848,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461592,RNA-Seq,43,163543405,PRJNA429574,SAMN08349703,164596018,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551796,GSM2929849,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929849,SRP128877,embryonic day 5.5,embryo 2,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR8138414,RNA-Seq,43,379976380,PRJNA429574,SAMN10351418,404520087,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959305,GSM3452857,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452857,SRP128877,embryonic day 4.5,E_1,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138415,RNA-Seq,43,222253584,PRJNA429574,SAMN10351417,230713055,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959306,GSM3452858,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452858,SRP128877,embryonic day 4.5,E_1,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138416,RNA-Seq,43,246684335,PRJNA429574,SAMN10351416,254643072,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959307,GSM3452859,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452859,SRP128877,embryonic day 4.5,E_1,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138417,RNA-Seq,43,506592804,PRJNA429574,SAMN10351415,503841648,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959308,GSM3452860,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452860,SRP128877,,,,,
SRR8138418,RNA-Seq,43,463519747,PRJNA429574,SAMN10351414,464031784,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959309,GSM3452861,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452861,SRP128877,embryonic day 4.5,E_1,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138419,RNA-Seq,43,308725294,PRJNA429574,SAMN10351413,316396175,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959310,GSM3452862,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452862,SRP128877,embryonic day 4.5,E_1,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138420,RNA-Seq,43,433815906,PRJNA429574,SAMN10351412,435573296,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959311,GSM3452863,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452863,SRP128877,embryonic day 4.5,E_1,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138421,RNA-Seq,43,233947047,PRJNA429574,SAMN10351411,242261903,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959312,GSM3452864,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452864,SRP128877,embryonic day 4.5,E_1,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138422,RNA-Seq,43,30660333,PRJNA429574,SAMN10351410,33778643,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959313,GSM3452865,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452865,SRP128877,embryonic day 4.5,E_2,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138423,RNA-Seq,43,26083241,PRJNA429574,SAMN10351409,29044393,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959314,GSM3452866,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452866,SRP128877,embryonic day 4.5,E_2,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138424,RNA-Seq,43,43854883,PRJNA429574,SAMN10351408,48723635,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959315,GSM3452867,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452867,SRP128877,embryonic day 4.5,E_2,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138425,RNA-Seq,43,22409364,PRJNA429574,SAMN10351407,24979643,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959316,GSM3452868,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452868,SRP128877,embryonic day 4.5,E_2,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138426,RNA-Seq,43,36299955,PRJNA429574,SAMN10351406,43192479,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959317,GSM3452869,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452869,SRP128877,embryonic day 4.5,E_3,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138427,RNA-Seq,43,69693368,PRJNA429574,SAMN10351405,76804564,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959318,GSM3452870,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452870,SRP128877,embryonic day 4.5,E_4,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138428,RNA-Seq,43,31106286,PRJNA429574,SAMN10351404,34328600,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959319,GSM3452871,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452871,SRP128877,embryonic day 4.5,E_4,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138429,RNA-Seq,43,40491423,PRJNA429574,SAMN10351403,46695698,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959320,GSM3452872,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452872,SRP128877,embryonic day 4.5,E_4,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
SRR8138430,RNA-Seq,43,78329488,PRJNA429574,SAMN10351402,86191855,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4959321,GSM3452873,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3452873,SRP128877,embryonic day 4.5,E_4,CAST/EiJ (F) x C57BL/6J (M),Embryo,Embryo
