Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM2929457	"Mouse embryo cell EB_347"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551404"	SRX3551404	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929458	"Mouse embryo cell EB_349"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551405"	SRX3551405	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929459	"Mouse embryo cell EB_351"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551406"	SRX3551406	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929460	"Mouse embryo cell EB_352"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551407"	SRX3551407	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929461	"Mouse embryo cell EB_353"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551408"	SRX3551408	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929462	"Mouse embryo cell EB_354"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551409"	SRX3551409	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929463	"Mouse embryo cell EB_355"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551410"	SRX3551410	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929464	"Mouse embryo cell EB_356"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551411"	SRX3551411	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929465	"Mouse embryo cell EB_358"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551412"	SRX3551412	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929466	"Mouse embryo cell EB_357"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551413"	SRX3551413	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929467	"Mouse embryo cell EB_359"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551414"	SRX3551414	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929468	"Mouse embryo cell EB_361"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551415"	SRX3551415	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929469	"Mouse embryo cell EB_360"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551416"	SRX3551416	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929470	"Mouse embryo cell EB_362"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551417"	SRX3551417	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929471	"Mouse embryo cell EB_363"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551418"	SRX3551418	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929472	"Mouse embryo cell EB_365"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551419"	SRX3551419	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929473	"Mouse embryo cell EB_367"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551420"	SRX3551420	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929474	"Mouse embryo cell EB_370"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551421"	SRX3551421	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929475	"Mouse embryo cell EB_368"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551422"	SRX3551422	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929476	"Mouse embryo cell EB_369"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551423"	SRX3551423	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929477	"Mouse embryo cell EB_371"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551424"	SRX3551424	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929478	"Mouse embryo cell EB_376"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551425"	SRX3551425	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929479	"Mouse embryo cell EB_377"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551426"	SRX3551426	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929480	"Mouse embryo cell EB_378"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551427"	SRX3551427	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929481	"Mouse embryo cell EB_379"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551428"	SRX3551428	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929482	"Mouse embryo cell EB_373"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551429"	SRX3551429	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929483	"Mouse embryo cell EB_380"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551430"	SRX3551430	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929484	"Mouse embryo cell EB_381"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551431"	SRX3551431	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929485	"Mouse embryo cell EB_374"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551432"	SRX3551432	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929486	"Mouse embryo cell EB_375"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551433"	SRX3551433	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929487	"Mouse embryo cell EB_382"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551434"	SRX3551434	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929488	"Mouse embryo cell EB_390"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551435"	SRX3551435	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929489	"Mouse embryo cell EB_387"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551436"	SRX3551436	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929490	"Mouse embryo cell EB_396"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551437"	SRX3551437	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929491	"Mouse embryo cell EB_384"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551438"	SRX3551438	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929492	"Mouse embryo cell EB_395"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551439"	SRX3551439	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929493	"Mouse embryo cell EB_398"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551440"	SRX3551440	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929494	"Mouse embryo cell EB_401"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551441"	SRX3551441	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929495	"Mouse embryo cell EB_400"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551442"	SRX3551442	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929496	"Mouse embryo cell EB_402"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551443"	SRX3551443	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929497	"Mouse embryo cell EB_397"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551444"	SRX3551444	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929498	"Mouse embryo cell EB_399"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551445"	SRX3551445	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929499	"Mouse embryo cell EB_404"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551446"	SRX3551446	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929500	"Mouse embryo cell EB_405"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551447"	SRX3551447	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929501	"Mouse embryo cell EB_406"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551448"	SRX3551448	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929502	"Mouse embryo cell EB_407"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551449"	SRX3551449	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929503	"Mouse embryo cell EB_12"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551450"	SRX3551450	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929504	"Mouse embryo cell EB_1260"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551451"	SRX3551451	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929505	"Mouse embryo cell EB_1210"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551452"	SRX3551452	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929506	"Mouse embryo cell EB_1220"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551453"	SRX3551453	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929507	"Mouse embryo cell EB_1228"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551454"	SRX3551454	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929508	"Mouse embryo cell EB_1236"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551455"	SRX3551455	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929509	"Mouse embryo cell EB_1244"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551456"	SRX3551456	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929510	"Mouse embryo cell EB_1261"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551457"	SRX3551457	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929511	"Mouse embryo cell EB_1221"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551458"	SRX3551458	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929512	"Mouse embryo cell EB_1237"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551459"	SRX3551459	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929513	"Mouse embryo cell EB_1245"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551460"	SRX3551460	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929514	"Mouse embryo cell EB_1253"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551461"	SRX3551461	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929515	"Mouse embryo cell EB_1262"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551462"	SRX3551462	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929516	"Mouse embryo cell EB_1211"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551463"	SRX3551463	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929517	"Mouse embryo cell EB_1246"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551464"	SRX3551464	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929518	"Mouse embryo cell EB_1254"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551465"	SRX3551465	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929519	"Mouse embryo cell EB_1263"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551466"	SRX3551466	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929520	"Mouse embryo cell EB_1265"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551467"	SRX3551467	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929521	"Mouse embryo cell EB_1203"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551468"	SRX3551468	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929522	"Mouse embryo cell EB_1207"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551469"	SRX3551469	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929523	"Mouse embryo cell EB_1200"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551470"	SRX3551470	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929524	"Mouse embryo cell EB_1212"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551471"	SRX3551471	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929525	"Mouse embryo cell EB_1217"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551472"	SRX3551472	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929526	"Mouse embryo cell EB_1223"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551473"	SRX3551473	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929527	"Mouse embryo cell EB_1231"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551474"	SRX3551474	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929528	"Mouse embryo cell EB_1239"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551475"	SRX3551475	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929529	"Mouse embryo cell EB_1247"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551476"	SRX3551476	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929530	"Mouse embryo cell EB_1255"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551477"	SRX3551477	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929531	"Mouse embryo cell EB_1267"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551478"	SRX3551478	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929532	"Mouse embryo cell EB_1224"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551479"	SRX3551479	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929533	"Mouse embryo cell EB_1232"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551480"	SRX3551480	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929534	"Mouse embryo cell EB_1248"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551481"	SRX3551481	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929535	"Mouse embryo cell EB_1256"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551482"	SRX3551482	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929536	"Mouse embryo cell EB_1268"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551483"	SRX3551483	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929537	"Mouse embryo cell EB_1225"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551484"	SRX3551484	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929538	"Mouse embryo cell EB_1233"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551485"	SRX3551485	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929539	"Mouse embryo cell EB_1241"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551486"	SRX3551486	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929540	"Mouse embryo cell EB_1249"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551487"	SRX3551487	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929541	"Mouse embryo cell EB_1257"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551488"	SRX3551488	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929542	"Mouse embryo cell EB_1269"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551489"	SRX3551489	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929543	"Mouse embryo cell EB_1204"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551490"	SRX3551490	"Qiaolin Deng"	"Feb 04, 2019"
